SEQ,TIMESTAMP,BP10,BSize10,BP9,BSize9,BP8,BSize8,BP7,BSize7,BP6,BSize6,BP5,BSize5,BP4,BSize4,BP3,BSize3,BP2,BSize2,BP1,BSize1,AP1,ASize1,AP2,ASize2,AP3,ASize3,AP4,ASize4,AP5,ASize5,AP6,ASize6,AP7,ASize7,AP8,ASize8,AP9,ASize9,AP10,ASize10
85,2014-03-20 09:30:03.360,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,139200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
86,2014-03-20 09:30:03.360,*,*,*,*,*,*,*,*,*,*,*,*,76,209600,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
87,2014-03-20 09:30:03.371,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,48800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
88,2014-03-20 09:30:03.525,*,*,*,*,*,*,*,*,*,*,*,*,76,210000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
89,2014-03-20 09:30:03.625,*,*,*,*,*,*,*,*,*,*,*,*,76,210800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
90,2014-03-20 09:30:03.717,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,140800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
91,2014-03-20 09:30:03.833,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,50000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
92,2014-03-20 09:30:03.835,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.15,4000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
93,2014-03-20 09:30:04.035,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,146000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
94,2014-03-20 09:30:04.041,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,42400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
95,2014-03-20 09:30:04.072,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.05,8400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
96,2014-03-20 09:30:04.149,*,*,*,*,*,*,*,*,*,*,*,*,76,211200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
97,2014-03-20 09:30:04.265,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,42000,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
98,2014-03-20 09:30:04.320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.4,80000,*,*,*,*,*,*,*,*,*,*
99,2014-03-20 09:30:04.320,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,42800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
100,2014-03-20 09:30:04.322,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.35,70400,*,*,*,*,*,*,*,*,*,*,*,*
101,2014-03-20 09:30:04.322,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.2,45200,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
102,2014-03-20 09:30:04.325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.45,62000,*,*,*,*,*,*,*,*
103,2014-03-20 09:30:04.325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,76.25,146400,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
