Seq_No	Time	Transaction_Price	Volume	Bid_Price	Bid_Size	Ask_Price	Ask_Size
11274	2014-03-21 14:11:56.528	*	*	*	*	76.35	49600
11275	2014-03-21 14:11:56.579	*	*	76.3	52800	*	*
11276	2014-03-21 14:11:57.371	*	*	76.3	53200	*	*
11277	2014-03-21 14:11:57.646	76.35	400	*	*	*	*
11278	2014-03-21 14:11:57.646	*	*	*	*	76.35	49200
11279	2014-03-21 14:11:57.954	*	*	76.3	53600	*	*
11280	2014-03-21 14:11:58.149	*	*	76.3	67600	*	*
11281	2014-03-21 14:11:58.150	*	*	76.3	66400	*	*
11282	2014-03-21 14:12:00.636	*	*	76.3	52400	*	*
11283	2014-03-21 14:12:01.617	*	*	76.3	48400	*	*
11284	2014-03-21 14:12:01.620	*	*	76.3	46400	*	*
11285	2014-03-21 14:12:06.598	*	*	76.3	60400	*	*
11286	2014-03-21 14:12:10.012	*	*	76.3	65600	*	*
11287	2014-03-21 14:12:13.234	*	*	76.3	65200	*	*
11288	2014-03-21 14:12:13.249	76.35	400	*	*	*	*
11289	2014-03-21 14:12:13.249	*	*	*	*	76.35	48800
11290	2014-03-21 14:12:14.593	*	*	76.3	65600	*	*
11291	2014-03-21 14:12:15.251	76.35	6400	*	*	*	*
11292	2014-03-21 14:12:15.251	*	*	*	*	76.35	42400
11293	2014-03-21 14:12:15.900	*	*	76.3	66000	*	*
11294	2014-03-21 14:12:17.188	76.35	2000	*	*	*	*
11295	2014-03-21 14:12:17.188	76.35	400	*	*	*	*
11296	2014-03-21 14:12:17.188	76.35	400	*	*	*	*
11297	2014-03-21 14:12:17.188	*	*	*	*	76.35	39600
11298	2014-03-21 14:12:17.286	*	*	*	*	76.35	40000
11299	2014-03-21 14:12:17.289	*	*	76.3	67200	*	*
11300	2014-03-21 14:12:18.280	76.35	400	*	*	*	*
11301	2014-03-21 14:12:18.280	*	*	*	*	76.35	39600
11302	2014-03-21 14:12:18.840	*	*	76.3	66000	*	*
11303	2014-03-21 14:12:18.840	76.35	1200	*	*	*	*
11304	2014-03-21 14:12:18.840	76.35	2000	*	*	*	*
11305	2014-03-21 14:12:18.840	76.35	400	*	*	*	*
11306	2014-03-21 14:12:18.840	*	*	*	*	76.35	36000
11307	2014-03-21 14:12:20.149	76.35	800	*	*	*	*
11308	2014-03-21 14:12:20.149	*	*	*	*	76.35	35200
11309	2014-03-21 14:12:21.288	76.35	800	*	*	*	*
11310	2014-03-21 14:12:21.288	76.35	800	*	*	*	*
11311	2014-03-21 14:12:21.288	*	*	*	*	76.35	33600
11312	2014-03-21 14:12:23.061	*	*	76.3	52000	*	*
11313	2014-03-21 14:12:24.099	76.35	400	*	*	*	*
11314	2014-03-21 14:12:24.099	*	*	*	*	76.35	33200
11315	2014-03-21 14:12:24.877	*	*	76.3	47200	*	*
